Name,Team,Url,Type,ValueinCR,Full Name,Born,Age,National Side,Batting Style,Bowling,Sport,MatchPlayed,InningsBatted,NotOuts,RunsScored,HighestInnScore,100s,50s,4s,6s,BattingAVG,BattingS/R,CatchesTaken,StumpingsMade,Ducks,R/O,InningsBowled,Overs,Maidens,RunsConceded,Wickets,Best,3s,5s,BowlingAVG,EconomyRate,S/R,Mtc
Kagiso Rabada,PBKS,https://sports.ndtv.com/cricket/players/64042-kagiso-rabada-playerprofile,Bowler ,9.25,Kagiso Rabada,"May 25, 1995 Johannesburg","26 Years, 9 Months, 22 Days",South Africa,Left Handed,Right-arm fast,IPL,50,18,8,138,44 v MI,0,0,11,4,13.8,102.98,23,0,5,2,50,190,2,1560,76,4/21 v RCB,4,0,20.52,8.21,15,50
Shikhar Dhawan,PBKS,https://sports.ndtv.com/cricket/players/737-shikhar-dhawan-playerprofile,Batsman ,8.25,Shikhar Dhawan,"December 5, 1985 Delhi","36 Years, 3 Months, 10 Days",India,Left Handed,Off break,IPL,192,191,25,5784,106* v PBKS,2,44,654,124,34.84,126.64,82,0,11,16,6,8,0,66,4,1/7 v DC,0,0,16.5,8.25,12,6
Rahul Chahar,PBKS,https://sports.ndtv.com/cricket/players/107512-rahul-chahar-playerprofile,Bowler ,5.25,Rahul Desraj Chahar,"August 4, 1999 Bharaatpur, Rajasthan","22 Years, 7 Months, 12 Days",India,Right Handed,Leg break googly,IPL,42,11,4,31,10 v SRH,0,0,3,0,4.42,96.87,11,0,4,1,41,150,0,1117,43,4/27 v KKR,3,0,25.97,7.44,20.93,41
Arshdeep Singh,PBKS,https://sports.ndtv.com/cricket/players/108557-arshdeep-singh-playerprofile,Bowler ,4,Arshdeep Singh,"February 5, 1999 Guna, Madhya Pradesh","23 Years, 1 Months, 8 Days",India,Left Handed,Left-arm medium fast,IPL,23,3,2,2,1* v KKR,0,0,0,0,2,33.33,6,0,1,0,23,76.1,1,669,30,5/32 v RR,3,1,22.3,8.78,15.23,23
Rishi Dhawan,PBKS,https://sports.ndtv.com/cricket/players/1131-rishi-dhawan-playerprofile,All-Rounder ,0.55,Rishi Dhawan,"February 19, 1990 Mandi, Himachal Pradesh","32 Years, 0 Months, 24 Days",India,Right Handed,Right-arm medium fast,IPL,26,17,10,153,25* v CSK,0,0,13,4,21.85,113.33,6,0,2,1,25,81.2,1,640,18,2/14 v RCB,0,0,35.55,7.86,27.11,25
Sandeep Sharma,PBKS,https://sports.ndtv.com/cricket/players/1431-sandeep-sharma-playerprofile,Bowler ,0.5,Sandeep Sharma,"May 18, 1993 Patiala, Punjab","28 Years, 9 Months, 28 Days",India,Right Handed,Right-arm medium,IPL,99,25,19,52,9 v RCB,0,0,4,0,8.66,81.25,12,0,9,1,99,366.2,8,2849,112,4/20 v DC,9,0,25.43,7.77,19.62,99
Washington Sundar,SRH,https://sports.ndtv.com/cricket/players/108593-washington-sundar-playerprofile,All-Rounder ,8.75,Washington Sundar,"October 5, 1999 Chennai, Tamil Nadu","22 Years, 5 Months, 11 Days",India,Left Handed,Off break,IPL,42,26,10,217,35 v RR,0,0,17,6,13.56,111.28,9,0,4,0,41,125,1,867,27,3/16 v MI,2,0,32.11,6.93,27.77,41
Abhishek Sharma,SRH,https://sports.ndtv.com/cricket/players/108562-abhishek-sharma-playerprofile,All-Rounder ,6.5,Abhishek Sharma,"September 4, 2000 Amritsar, Punjab","21 Years, 6 Months, 11 Days",India,Left Handed,Slow left-arm orthodox,IPL,22,20,6,241,46* v RCB,0,0,17,12,17.21,139.3,5,0,0,1,14,22,0,176,7,2/4 v MI,0,0,25.14,8,18.85,14
Bhuvneshwar Kumar,SRH,https://sports.ndtv.com/cricket/players/1250-bhuvneshwar-kumar-playerprofile,Bowler ,4.2,Bhuvneshwar Kumar Singh,"February 5, 1990 Meerut, Uttar Pradesh","32 Years, 1 Months, 7 Days",India,Right Handed,Right-arm medium,IPL,132,51,25,217,24* v CSK,0,0,20,3,8.34,96.87,27,0,9,4,132,491.3,9,3588,142,5/19 v PBKS,9,1,25.26,7.3,20.76,132
Marco Jansen,SRH,https://sports.ndtv.com/cricket/players/113406-marco-jansen-playerprofile,All-Rounder ,4.2,Marco Jansen,"May 1, 2000 Potchefstroom, North West, South Africa","21 Years, 10 Months, 14 Days",South Africa,Right Handed,Left-arm fast,IPL,2,2,0,0,0 v KKR,0,0,0,0,0,0,1,0,2,0,2,6,0,45,2,2/28 v RCB,0,0,22.5,7.5,18,2
